run_id,period_no,rebalance_date,start_date,end_date,period_days,num_funds,gross_return,gross_cagr,net_return,net_cagr,fee_return,benchmark_return,benchmark_cagr,alpha_return,alpha_cagr,net_alpha_return,net_alpha_cagr
mf-10y-semiannual-top15-net1%,1,2014-01-01,2014-01-01,2014-07-01,181,15,0.27542634333848737,0.6332849489795294,0.26908560421971184,0.6169520994897344,-0.004971466327234886,0.25982219964439923,0.5932396215970481,0.015604143694088135,0.04004532738248123,0.009263404575312606,0.023712477892686268
mf-10y-semiannual-top15-net1%,2,2014-07-01,2014-07-01,2015-01-01,184,15,0.17598524095720686,0.3792909474028401,0.17004221401605912,0.36549803792881197,-0.005053657762159047,0.09454991209535657,0.19627611177372262,0.08143532886185029,0.18301483562911747,0.07549230192070255,0.16922192615508935
mf-10y-semiannual-top15-net1%,3,2015-01-01,2015-01-01,2015-07-01,181,15,0.029135511111611095,0.05962416962508388,0.024019198571958222,0.04902792792883326,-0.004971466327234886,0.02743844034128573,0.05610346679820921,0.0016970707703253644,0.0035207028268746665,-0.003419241769327508,-0.0070755388693759524
mf-10y-semiannual-top15-net1%,4,2015-07-01,2015-07-01,2016-01-01,184,15,0.010669400982149012,0.021275905129111372,0.005561823718899017,0.01106314607782033,-0.005053657762159047,-0.031359809532005345,-0.06124863606383113,0.042029210514154355,0.0825245411929425,0.03692163325090436,0.07231178214165146
mf-10y-semiannual-top15-net1%,5,2016-01-01,2016-01-01,2016-07-01,182,15,0.029792208230896518,0.06064306263929553,0.024644416800341684,0.05003663201290243,-0.00499886422659801,0.040600268003228024,0.08308572896712274,-0.010808059772331506,-0.02244266632782721,-0.01595585120288634,-0.033049096954220314
mf-10y-semiannual-top15-net1%,6,2016-07-01,2016-07-01,2017-01-01,184,15,0.020357269769261378,0.04078692130785311,0.015200733332716432,0.030379052094774428,-0.005053657762159047,-0.006410210804157823,-0.012675814576671773,0.0267674805734192,0.05346273588452488,0.021610944136874255,0.0430548666714462
mf-10y-semiannual-top15-net1%,7,2017-01-01,2017-01-01,2017-07-01,181,15,0.19383434843211317,0.4294318550554266,0.18789924116858647,0.41513753650487195,-0.004971466327234886,0.1898036415565869,0.41971626981847177,0.004030706875526258,0.009715585236954816,-0.0019044003880004379,-0.004578733313599814
mf-10y-semiannual-top15-net1%,8,2017-07-01,2017-07-01,2018-01-01,184,15,0.16709446111478926,0.3586822326623573,0.1611963651322037,0.34509541033573377,-0.005053657762159047,0.1209662088303789,0.2542279323710621,0.046128252284410365,0.10445430029129521,0.040230156301824804,0.09086747796467165
mf-10y-semiannual-top15-net1%,9,2018-01-01,2018-01-01,2018-07-01,181,15,-0.06911593345830366,-0.13448290336203317,-0.0737437922496752,-0.14313807432841286,-0.004971466327234886,-0.028835656367587004,-0.05729710672376376,-0.04028027709071666,-0.07718579663826941,-0.044908135882088196,-0.0858409676046491
mf-10y-semiannual-top15-net1%,10,2018-07-01,2018-07-01,2019-01-01,184,15,0.005192091660106219,0.010325831015148834,0.00011219484362734455,0.0002225727049975923,-0.005053657762159047,0.009759578438906624,0.019452960962370147,-0.004567486778800405,-0.009127129947221313,-0.00964738359527928,-0.019230388257372555
mf-10y-semiannual-top15-net1%,11,2019-01-01,2019-01-01,2019-07-01,181,15,0.05494834856683145,0.11390317207703604,0.04970370837495941,0.1027641403562658,-0.004971466327234886,0.056001913480250964,0.11614763396273342,-0.0010535649134195135,-0.0022444618856973797,-0.006298205105291554,-0.013383493606467622
mf-10y-semiannual-top15-net1%,12,2019-07-01,2019-07-01,2020-01-01,184,15,0.029711235137717958,0.059799195573622344,0.024507426961482004,0.04920120361788638,-0.005053657762159047,0.01807371563883442,0.036171433635344696,0.011637519498883538,0.023627761938277647,0.006433711322647584,0.013029769982541684
mf-10y-semiannual-top15-net1%,13,2020-01-01,2020-01-01,2020-07-01,182,15,-0.10275145210285186,-0.19542449368161208,-0.10723667577130191,-0.2034702487447959,-0.00499886422659801,-0.13488327408973,-0.252168638761582,0.03213182198687814,0.05674414507996994,0.027646598318428084,0.04869839001678611
